GWNum;Messstelle;Ca;Cl;DOC;LF_mS_m;K;Mg;Na;NO3;pH;SO4;SiO2;U;PSM;Rechtswert;Hochwert;Aquifer_kz;Aquifer;Aquifer2;landuse;landuse_num
50/565-0;QF G?chinger Lauter G?chingen, Sankt Johann;110;14.4;1.8;48.5;0.64;2;10;15.2;7.21;6.6;5.4;0.00025;0;3528340;5366070;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
50/759-7;SBR Sammelkl?ranlage, Stimpfach-Rechenberg;72.1;27.4;0;57.6;2.22;38.9;9.4;35;7.44;25.9;6.4;0.002;0;3583230;5434800;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;agr;1
51/355-7;BR 25 Hasenbaum, HD-Handschuhsheim;160;39.8;0.56;94;1.73;25;18.9;100;7.1;119;9.4;0.0006;0.00003;3476357;5477511;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
51/356-9;BR G?rtnerei, Leimen;227;57;1.4;123;5.1;27;32;77;7;181;12.4;0.0135;0;3476640;5467995;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
51/365-7;QF Ziegelbach, Horb;93;20;0.6;65;1.9;35;5.9;41;7.48;45;7.7;0.0011;0.00009;3477280;5367040;72;MUSCHELKALK;Middle Triassic;no_agr;0
51/508-2;TB 1 Facility Service, Heilbronn;160;73;0;98.2;6;33;45;4;7.11;200;0;0.0009;0;3515125;5444335;99;MISCHWASSER, MEHRERE AQUIFERE;multiple or undifferentiated;no_agr;0
51/602-0;BBR Tauberaue  (WV H?hefeld), Gamburg;126;48.3;0.51;82.2;3;31.9;8.9;58.2;NA;51;10.6;0.0029;0.00004;3543663;5507723;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
51/668-9;GWM B 12.19 Fa. KaVo Biberach, Biberach an der Riˇ;83.4;21.4;0.64;53.2;1.6;23.1;9.1;25.9;7.34;24.4;9.9;0.0008;0;3558900;5329680;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
51/670-0;GWM B 3/89 Oberessendorf;97;11.7;0.3;57.7;1.2;22.8;5.5;34.9;7.3;21.2;11.5;0.0018;0;3559230;5315385;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
51/719-8;GWM BO24, Ochsenhausen;60;11;0;35.1;0.5;10;3.7;25;7.65;8.7;14;0.0005;0;3570040;5323715;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
52/018-9;TB Winzergenossenschaft, Sasbach am Kaiserstuhl;88.5;52.1;0.41;62.2;4.77;13.6;24.4;17.4;7.01;40;8.4;0.0011;0;3396845;5334280;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
52/074-0;TB StÅck Wyhlen, Grenzach-Wyhlen;122;12.9;0.5;75.3;2.1;36.1;7.8;46.2;7.05;97.3;7.3;0.0008;0;3403120;5268220;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;agr;1
52/163-8;TB I Heid, Achern;69.1;18.7;0.69;42.1;2.8;10.3;12.1;20.9;6.82;29.6;14.5;0.0005;0;3431226;5390092;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
52/272-3;QF Oberhofenquelle Mauchen, StÅhlingen;130;14.8;0.31;69.9;0.5;22;4;36.7;7.4;39.8;8.6;0.0008;0.00014;3454060;5290700;72;MUSCHELKALK;Middle Triassic;no_agr;0
52/407-0;BBR Ried I, Ittlingen;138;44.4;0.9;86.6;2;40.4;9.9;43.8;NA;94;10.8;0.0009;0;3495150;5451960;72;MUSCHELKALK;Middle Triassic;agr;1
52/409-6;BR III Gewann Schafrain, Zaberfeld;94.9;55.3;0.48;73.9;2.6;41;17;39.4;7.46;40.3;4.8;0.0014;0;3492335;5436725;61;GIPSKEUPER (FUˇ DES KEUPERBERGLANDES);Gipskeuper;no_agr;0
52/667-1;FB Fa. Eloxal Ehingen, Ehingen;158.4;43.9;2;77.9;2.1;7.9;16.9;39.3;6.83;35.2;7.1;0.0014;0.00008;3554190;5350720;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
53/456-1;BR KWO Obrigheim, Obrigheim;114;35.7;1;75.9;1.4;25.8;23.3;22.2;NA;37;10.6;0.0009;0.00007;3505650;5469900;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;agr;1
53/519-0;GWM Spielplatz Ennetach, Mengen;108;31;1.2;61;3.8;16;16;15;7.15;27;8.5;0.0043;0;3524030;5324080;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
53/557-9;SBR I Kl?ranlage, ?hringen-M?hrig;130;56;1.2;102.9;8;42;27;2;7.18;120;0;0.0011;0;3535100;5452485;71;LETTENKEUPER;Lettenkeuper;agr;1
53/622-9;QF Liebenau Meckenbeuren, Meckenbeuren;94.4;14.5;0.9;56;2;19.3;9.7;27;7.36;17;10;0.0012;0;3545747;5285697;6;QUART?R EISZEITL.KIESE+SANDE, MOR?NEN?BERD. (ALPENV);Quaternary AF/MB;no_agr;0
54/306-9;GWM 3 WW, Eppelheim;183;54;0.7;109.6;2.5;32;26;47;7.14;130;13;0.0012;0;3472285;5473020;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
54/308-0;BR 4 Wasserwerk, Bruchsal;119;35.5;1.03;70.2;10.8;16.1;11.2;42.9;7.2;83;10.5;0.0006;0;3466127;5442575;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
54/465-8;SBR Talheim, M?ssingen;143;20;1.8;64.9;2.4;8.6;10.2;16.8;7.03;43.9;5.7;0.00025;0.00005;3507600;5361050;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;no_agr;0
54/568-0;GWM B1.87, Andelfingen;131;39;0.8;66.2;8.4;5.3;18.6;28;7;19;11.6;0.0008;0.00003;3530570;5334370;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
54/662-9;QF Hummelshalden, Schw?bisch GmÅnd;123.5;21.3;0.63;58.9;1.18;7.2;8.8;6.1;7.19;29.2;6.9;0.00025;0;3558960;5402550;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;no_agr;0
54/663-1;TB Firma B?ssler, Holzheim;128.3;48.2;0.36;72.1;4.01;8.8;17.8;31.1;7.38;58.8;7.3;0.00025;0;3550850;5393670;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
54/759-9;QF Eichishof, Weipertshofen;62.1;14;0;50;1.41;36.5;5;24.9;7.48;18.8;7.9;0.00025;0;3584600;5437120;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
54/773-0;TB II Burkwang Grossholzleute, Isny im Allg?u;91;14;0.85;47.4;1.8;13;7.4;7.8;7.34;4.1;4.4;0.00025;0;3579750;5284195;6;QUART?R EISZEITL.KIESE+SANDE, MOR?NEN?BERD. (ALPENV);Quaternary AF/MB;no_agr;0
55/023-5;TB Fa. Raymond, L?rrach;62;24.4;0.5;44.2;2.2;11.2;12.7;14.4;7.08;56.8;12.2;0.0016;0.00008;3399100;5275704;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
55/068-3;TB Williamshof, Forchheim;164;76.8;1.06;115.8;15.3;32.1;42.9;178.8;6.8;82.2;11.5;0.0016;0;3402810;5336225;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
55/162-1;GWM 4 Firma Luk, RA-BÅhl;108;20.2;0.65;47.3;2.4;10.1;10.9;19.1;NA;36.9;15.4;0.0009;0;3435615;5397160;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
55/172-5;TB S?gematt Immeneich, Sankt Blasien;8.2;6.3;0.83;7.3;0.83;1.2;5.5;2.9;6.57;3.3;7.6;0.00025;0;3434260;5285045;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
55/355-5;BR 23/4 Firma Technochemie, Dossenheim;177;39.6;3.1;103.4;2.07;33;21.2;115;7.13;127;10.3;0.0006;0;3475880;5478300;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
55/465-3;SBR Froschgasse 12 Ofterdingen, Ofterdingen;111;52.9;1.3;71.2;28.3;8.8;29.7;44.2;7.09;52.5;8.9;0.00025;0;3502760;5364950;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;no_agr;0
55/470-3;SBR Fa. Oschwald Messkirch, Meˇkirch;160;88;2.7;92;2.3;21;30;0.7;6.86;2.9;8.8;0.0014;0;3509380;5317630;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
55/507-1;BR I Steinbreche, ?dheim;0;52;0;0;0;0;0;84;7.3;77;11.3;0.001;0;3519055;5456420;72;MUSCHELKALK;Middle Triassic;agr;1
55/519-0;GWM B1/86 Schwarzadlerstraˇe Mengen, Mengen;110;60;0.9;70;5.1;18;24;22;7.22;23;9.4;0.0022;0.00002;3524725;5323520;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
55/622-0;SBR Kl?sterle Realschule, Ravensburg;80.5;45.7;0.9;59;6.5;13.8;31;27.4;7.4;25.8;16.2;0.0012;0;3545730;5293400;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
56/210-3;TB WW Neuburgweier, Rheinstetten;105;13.6;0.6;51.5;0.82;8.3;6.5;0.8;7.18;35.7;9.4;0.001;0;3446360;5425340;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
56/215-1;QF am Rimbach Kniebis, Bad Rippoldsau;2.4;3.4;0.6;3.6;1.1;0.5;1.8;2.7;5.69;4.4;3.8;0.00025;0;3448470;5369740;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
56/309-3;BR Firma Schwaab, KA-Weingarten;127;44;1.58;86.4;44.3;19.5;26.5;6.3;7.07;111;15.7;0.0014;0;3465500;5435070;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
56/359-1;QF I Stegersee, Knittlingen;123;41.6;0.9;77.1;0.5;36.5;4.7;41.3;NA;54.6;9.7;0.0013;0.00002;3481480;5432930;71;LETTENKEUPER;Lettenkeuper;agr;1
56/456-8;BR Gmeinder Immobilen GmbH, Mosbach;116;66.4;0.9;91.1;2.8;33.1;56.8;15.7;7.04;111;9.1;0.0035;0.00005;3509800;5467860;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
56/465-9;SBR Gonser Dusslingen, Duˇlingen;85;16.3;0.68;77;7.5;27.6;89.4;0.5;7.11;65;5.7;0.00025;0;3504180;5368410;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;no_agr;0
56/557-5;SBR M?hrig, ?hringen;120;51;0;91.1;1.3;39;14;30;7.21;55;12;0.0007;0;3535505;5452580;71;LETTENKEUPER;Lettenkeuper;agr;1
57/210-8;TB Pumpwerk, Au am Rhein;116;17.2;0.58;59.2;1.91;10.1;7.4;10.1;7.13;47.7;9.4;0.0019;0;3444655;5423505;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
57/256-2;BR Lusshof, Altluˇheim;187;85;1.5;102.6;1.1;23;29;12.1;7.13;181;10.4;0.0023;0;3461120;5464960;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
57/262-7;QF 1-3 Lochbrunnen ZV Mannenbach WV, Wildbad;3.6;1.9;1.1;3.3;1.5;0.5;1.3;3.3;5.48;4.1;4.9;0.00025;0;3461850;5400390;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
57/411-5;BR Schlupfsee, M?nsheim;125;25.2;0.6;68.8;0.93;23.3;5.4;38.8;7.08;31.3;5.8;0.0005;0.00012;3488750;5414270;72;MUSCHELKALK;Middle Triassic;no_agr;0
57/456-3;TB Ruhgarten, Mosbach;147;147;1;116.4;3.3;49.6;55.8;11.3;7.06;171;9.6;0.004;0;3508650;5467180;99;MISCHWASSER, MEHRERE AQUIFERE;multiple or undifferentiated;no_agr;0
57/465-4;BBR Fontaneweg Kilchberg, TÅbingen;174;18.7;1.1;92;8.3;43.1;11.1;27.7;6.92;195;7.8;0.0023;0;3501390;5372560;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
57/618-3;GWM P7, Unlingen;146.4;7.7;1.7;68.3;1.6;18.6;8.6;8.1;6.96;9.4;9.3;0.0008;0;3538784;5337073;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
57/710-6;QF Schleifh?usle, Adelmannsfelden;71.3;13.2;0.52;55.9;3.19;36.4;6.9;31.2;7.38;20;13.5;0.0046;0.0007;3572040;5423850;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
58/068-0;TB Gruppenaussiedlung, Wyhl;107;45.8;0;74.8;4.44;30.9;17.5;51.4;7.1;55.5;14.5;0.002;0;3401250;5336520;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
58/359-2;BR Mahdwiesenhof, Maulbronn;102;67.7;0.75;67.4;1.7;26;11;17;6.94;23.1;12.7;0.0011;0;3486740;5430240;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;agr;1
58/461-9;GWM 19 Fa. Bosch, Stuttgart-Feuerbach;139.4;110;0.75;117.2;2.99;73.5;10.6;29;7.08;96.4;10.1;0.0033;0;3512206;5409257;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
58/508-0;SBR Firma Gunkel, Heilbronn;130;110;2;99.1;8;32;43;9;7.16;190;12.2;0.0009;0;3515501;5444691;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
58/672-4;SBR Kieswerk Grenis Amtzell, Amtzell;34.5;5.4;1.3;22.4;2.4;7.6;4.2;2.6;8.12;17.9;3.3;0.0007;0;3557400;5289910;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
58/711-4;SBR Zeirenhof, Schechingen;96.9;44.8;0.93;51.6;0.5;2.4;27.3;6.4;7.3;12.5;8.6;0.0005;0;3565810;5416500;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;agr;1
58/772-9;BBR Winterstetten, Leutkirch im Allg?u;91;4.9;0.6;46;0.9;10.5;2.9;5.3;7.43;3.9;4.4;0.0005;0;3582570;5292030;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
59/118-1;TB Firma Fischer, Emmendingen;32.5;14.7;0.49;24.6;1.99;5.7;9.7;18;6.25;21.4;10.5;0.00025;0;3414690;5331000;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
59/161-0;BR Hof Blumenweg, Iffezheim;73.8;19.5;0.46;42;3.03;3.5;17.8;6.5;7.48;47.7;9;0.0005;0;3438770;5409860;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
59/308-7;BR Schule, Ubstadt-Weiher;250;42.1;3;117.2;7;26.1;40.8;4.5;6.8;469;11.6;0.0049;0;3472470;5449100;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
59/417-2;QF Eyachtal Pfeffingen, Albstadt;125.2;15.9;0.9;57.7;0.9;3.7;8.2;19.9;7.25;13;4;0.00025;0;3497910;5347800;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
59/520-1;BR Kl?ranlage Pfullendorf, Pfullendorf;83;35;0.7;51;2.7;14;16;15;7.38;17;6.2;0.0005;0;3517850;5310535;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;agr;1
59/568-8;GWM B6.81, Riedlingen;144;68;1.5;86.1;2.3;20;30;40;6.93;43;12;0.0066;0;3536543;5335147;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
59/570-0;GWM P 6 K?nigseggwald, K?nigseggwald;132;14.8;1;67.6;2.6;16.9;5.8;55.4;7.12;22.7;8.3;0.0011;0.00004;3531075;5311275;7;QUART?R MOR?NEN (ALPENVORLAND);Quaternary AF/MB;agr;1
59/668-2;GWM B36.07 Biberach, Biberach an der Riˇ;102.6;41.2;0.84;63.7;4.5;28.4;14.9;26.4;7.21;28.4;9;0.0032;0;3559400;5329490;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
59/711-0;BBR Klotzenh?fe, Schechingen;100.2;9.9;1.87;50.6;10.6;7.6;4.8;32;7.2;35.8;9.7;0.0005;0;3568410;5416650;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;agr;1
6/022-6;TB2 Kieswerk Sattler, Steinenstadt;88.8;37;0.24;58.6;3.98;18.3;15.6;18.2;7.17;58.1;5;0.0012;0;3390799;5292549;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
6/258-1;BR I WV, Linkenheim-Hochstetten;103;21.2;0.86;55.9;1.4;12.2;11.9;5.7;7.29;85.4;12.1;0.0026;0;3457530;5442355;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
6/264-5;QF I Rohrbrunnen, Schwarzenberg;5.9;1.8;0.32;5;1.5;1.9;1.1;5.6;6.21;3.6;4.6;0.00025;0;3455355;5384740;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
6/269-9;QF Bondelquelle, ?berauchen;116;17.7;0.5;66.7;0.76;28.1;4.1;19.7;7.4;23.3;7.5;0.0007;0;3458000;5319120;72;MUSCHELKALK;Middle Triassic;agr;1
6/315-4;TB Breitbang, Altheim;114;20;0.2;70;6;42;6.9;0.5;7.33;181;7.9;0.0113;0;3473418;5371225;83;(TIEF) BUNTSANDSTEIN;Lower Triassic;agr;1
6/318-2;QF Banh?lzlequelle, Zimmern-Horgen;129;7.5;0.5;65;0.5;17.6;3;29;7.18;21.7;7.8;0.0005;0.00002;3465400;5334320;72;MUSCHELKALK;Middle Triassic;no_agr;0
6/360-9;GWM R?B 384B, ?schelbronn;107;25.7;1.1;74.1;2.3;43.3;6.3;23.5;7.22;53.6;8.2;0.0023;0.00005;3485518;5418399;83;(TIEF) BUNTSANDSTEIN;Lower Triassic;no_agr;0
6/363-7;SBR HOF Haselstall, Wildberg;139;31.5;1.8;61.9;2.2;16.2;7.3;26;7;36.1;7.8;0.0005;0;3485520;5392540;72;MUSCHELKALK;Middle Triassic;agr;1
6/364-0;GWM 1A, Gemeinde Rohrdorf;109;27.2;1.2;67.1;1.8;29.2;10.2;12.6;7.01;32.3;9.6;0.0008;0;3477737;5380676;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
6/369-3;TB I, Wurmlingen;114;9.9;0.6;49.7;0.8;5.3;5.6;6.2;7.23;22;5.7;0.0005;0;3483385;5319575;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;agr;1
6/370-2;TB V ZV Unteres Aitrachtal, Kirchen-Hausen;88;8;1;43.7;3.1;3.5;2.5;12;7.07;13;5.9;0.00025;0;3475875;5308038;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
6/371-5;GWM Weihergrund, Engen;128;85.2;0.87;75;1.62;10.5;38.8;24.5;NA;19.7;7.4;0.0006;0.00004;3483150;5301590;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
6/414-6;SBR I Wasserwerk AmmermÅhle, Herrenberg;130.6;28.9;0.84;83.2;2.29;40.4;10.5;33.2;7.31;141;6.1;0.0012;0;3489825;5383060;72;MUSCHELKALK;Middle Triassic;agr;1
6/417-4;BBR CECEBA, Balingen;191;113;1.1;115;6;29;37;2;7.13;193;6.5;0.0018;0;3488780;5349400;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;agr;1
6/419-0;QF Lippachquelle, Mahlstetten;105;23;1;51;1.9;2.9;13;11;7.33;9.5;3.9;0.00025;0;3488040;5327020;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
6/456-6;SBR Firma L?rch, Mosbach-Neckarelz;112;24.3;1.2;69.4;1.6;31.1;9.9;20.5;NA;62.3;9.7;0.0011;0;3508650;5467530;72;MUSCHELKALK;Middle Triassic;no_agr;0
6/467-2;SBR Conzelmann Tailfingen, Albstadt;129;123;0.9;83;6.1;4.2;56;23;7.14;30;5;0.00025;0;3501310;5345780;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
6/468-5;BBR Amtshaus Strassberg, Straˇberg;108;13.2;0.67;44.6;0.5;0.5;5.1;11.8;7.29;6.8;4.7;0.00025;0;3506540;5337580;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
6/469-8;TB 1 Vilsingen, Inzigkofen;126;24;0.4;61;1.1;7;7.5;32;7.14;11;7.1;0.001;0.00008;3511212;5323087;6;QUART?R EISZEITL.KIESE+SANDE, MOR?NEN?BERD. (ALPENV);Quaternary AF/MB;agr;1
6/471-0;BBR 1 Dill, Stockach;139;47;0.8;76.2;4.2;23.2;22.4;25;7.02;31;10.3;0.0036;0;3501313;5301396;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
6/518-1;TB Jungnau, Sigmaringen;122;16;0.5;54;0.9;2.4;6;19;7.1;8.5;5;0.00025;0.00002;3515430;5334030;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
6/554-5;QF Kappelquelle, Hardheim-Ehrfeld;109;14;0.66;66.2;1.6;28;5.3;29;7.39;37;7.2;0.0005;0;3535500;5489820;72;MUSCHELKALK;Middle Triassic;agr;1
6/606-7;BBR Firma Dometic Seitz GmbH, Krautheim;722;0;0.55;750;35;103;1040;0.6;6.51;1800;12;0.0053;0;3546270;5471780;2;QUART?R TALF?LLUNGEN;Quaternary Alluvium;no_agr;0
6/607-0;BBR IV Firma Arnold, Ernsbach;158;14;1.1;82.5;1.5;29;9;7.4;6.89;190;12;0.001;0;3537070;5461340;72;MUSCHELKALK;Middle Triassic;no_agr;0
6/658-0;BBR Hohenloher Molkerei, Hessental;214;37.5;0;127.9;9.08;46.2;59;0.5;7.15;443;13.2;0.00025;0;3557250;5441520;71;LETTENKEUPER;Lettenkeuper;no_agr;0
6/668-4;GWM P31.28 Biberach, Biberach an der Riˇ;115.3;45;1.3;69.3;4.8;26.1;18.5;23;7.08;31;9.9;0.0021;0;3559190;5330450;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
6/671-9;GWM 6-1 KÅmmerazhofen, Bad Waldsee;119.5;4.5;0.5;63.3;0.5;19.7;3.7;40.5;7.22;16.9;9.6;0.0008;0;3552805;5305614;6;QUART?R EISZEITL.KIESE+SANDE, MOR?NEN?BERD. (ALPENV);Quaternary AF/MB;agr;1
6/707-4;SBR, Langenburg-Neuhof;84;20;1.2;71.8;3.6;49;5.6;8;7.16;74;8.6;0.0009;0;3566420;5460020;71;LETTENKEUPER;Lettenkeuper;agr;1
6/708-7;BBR EWV Lichsenweg, Groˇaltdorf;85;20;0.5;61.9;0.9;33;5.9;47;7.02;30;9.3;0.0005;0;3565440;5443510;71;LETTENKEUPER;Lettenkeuper;agr;1
6/757-2;BBR EWV Aussiedlung, M?rzen?cker, Rohrturm;107;18;0.6;81;1.9;57;3.9;37;7.17;62;5.7;0.0011;0;3576560;5458840;71;LETTENKEUPER;Lettenkeuper;agr;1
6/758-5;SBR Pistoriusstraˇe, Crailsheim;116;20.6;0;69.9;3.98;28;11.6;12.5;7.44;126;9.2;0.0012;0;3578200;5444400;71;LETTENKEUPER;Lettenkeuper;no_agr;0
6/809-4;TB 8 Riesgruppe, PfladermÅhle, W?rt;60.1;22.8;0;45.8;2.62;29.2;10.3;0.5;7.37;33.1;12.8;0.011;0;3595170;5432950;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;agr;1
6/811-6;TB Stetten, Lippach;82.2;18.7;0.36;47;2.28;19.4;5.2;0.5;7.21;47.2;9.1;0.00025;0;3591920;5416870;42;LIAS UND DOGGER (ALBVORLAND);Middle/Lower Jurassic;no_agr;0
6/814-4;TB I, Hermaringen;121;29;0.3;65.3;1.5;16;4.8;26;7.31;20;7.1;0.0006;0.00006;3593258;5384141;31;MALM WEIˇJURA (SCHW?BISCHE ALB);Upper Jurassic;no_agr;0
60/162-0;BR Vimbuch, Steinfeld;115;17.4;0.52;55.5;3.09;8.1;5.4;44.1;7.2;30.6;13.1;0.0005;0;3434060;5397010;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;agr;1
60/308-4;BR Hauptstraˇe, Ubstadt-Weiher;144;49.2;2;77.3;3.4;19.3;24.1;0.5;7.06;197;8.3;0.00025;0;3472030;5448690;4;QUART?R EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Quaternary URG;no_agr;0
60/309-7;BR 1 Zementwerk, KA-W?ssingen;126;43.8;0.73;70.6;23.7;17.2;15.1;19.8;7.15;114;9.6;0.0008;0.00015;3471980;5431340;72;MUSCHELKALK;Middle Triassic;agr;1
60/455-9;QF Kalter Brunnen, Waldbrunn-Schollbrunn;18.3;23.6;0.42;18.7;2.89;3.5;9.1;46.9;5.42;7.1;7.3;0.00025;0.00003;3505130;5477820;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
60/520-9;GWM 8/92 Wald, Pfullendorf;134;89;0.4;84.2;5.7;15;36;21;6.97;22;8.5;0.0009;0.0017;3518225;5310000;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
60/568-5;GWM B07.81 Riedlingen, Riedlingen;142;68;2;85.5;3;20;30;29;6.85;84;12;0.0074;0;3536390;5334910;5;QUART?R EISZEITL.KIESE+SANDE (ALBS?DRAND, ALPENV.);Quaternary AF/MB;no_agr;0
60/602-1;BBR Dertingen;136;64.5;0.47;83.5;2.8;24.2;17.6;42;7.33;53.5;10.1;0.0023;0.00002;3544135;5514560;81;BUNTSANDSTEIN;Lower Triassic;no_agr;0
60/609-0;QF Bauersquelle, Michelfeld;88;21;0.7;64.4;1.8;34;8.3;94;7.12;23;9.5;0.0026;0.00002;3544780;5440100;51;H?HERER KEUPER (KEUPERBERGLAND);Upper Keuper;no_agr;0
60/621-6;SBR Starenweg 1 Baienfurt, Baienfurt;117.2;14.9;2;63.1;2.9;16.1;12.6;18.9;6.97;46.6;8.8;0.001;0.00002;3547125;5299110;7;QUART?R MOR?NEN (ALPENVORLAND);Quaternary AF/MB;no_agr;0
